CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS
Art Gallery,O'reilly William & Co Ltd,52 E 76th St ,10021,(212) 396-1822,http://www.nyc.com/arts__attractions/oreilly_william__co_ltd.806/whats_nearby.aspx,Not Available
Art Gallery,Organization of Independent Artists - Gallery 402,19 Hudson St. ,10013,(212) 219-9213,http://www.nonprofitgallery.com/main/usa/ny/oia.html,Not Available
Art Gallery,Owen Gallery,19 E 75th St ,10021,(212) 879-2415,http://www.owengallery.com/about-us,Not Available
Art Gallery,P P O W Gallerie,511 W 25th St ,10001,(212) 647-1044,http://www.ppowgallery.com/,Not Available
Art Gallery,P P O W Inc,476 Broome St ,10013,(212) 941-8642,http://www.nyc.com/arts__attractions/p_p_o_w_inc.260/whats_nearby.aspx,Not Available
Art Gallery,P S 122 Gallery,150 1st Ave ,10009,(212) 228-4249,http://ps122gallery.org/,Not Available
Art Gallery,Pace Editions,44 W 18th St ,10011,(212) 645-9806,http://www.ziplocal.com/companies/103327232-Pace-Editions,Not Available
Art Gallery,Pace MacGill Gallery,32 E. 57th St. 9th Fl.,10022,(212) 759-7999,http://www.pacemacgill.com/exhibitions.html,Not Available
Art Gallery,Pace Prints & Primitive Gallery,32 E. 57th St. 3rd Fl.,10022,(212) 421-3237,http://www.paceprints.com/,Not Available
Art Gallery,Pace Wildenstein,534 W 25th St ,10001,(212) 929-7000,http://www.pacewildenstein.com/,Not Available
Art Gallery,Pace Wildenstein,32 E 57th St Fl 4,10022,(212) 421-3292,http://www.pacewildenstein.com/uploads/exhibitions/keith%20tyson_with%20images_new.pdf,Not Available
Art Gallery,Paige's Art Gallery,3163 Broadway ,10027,(212) 531-1577,http://www.nyc.com/arts__attractions/paiges_art_gallery.1731/editorial_review.aspx,Not Available
Art Gallery,PaineWebber Gallery,1285 Sixth Ave. ,10019,(212) 713-2885,http://www.tfaoi.com/aa/1aa/1aa458.htm,Not Available
Art Gallery,Paint Can Studios,3608 34th St ,11106,(718) 937-7360,http://ny.serviceslisted.com/1655944-PaintCanStudios.htm,Not Available
Art Gallery,Paley Barbara K,1776 Broadway ,10019,(212) 333-4747,http://www.nyc.com/arts__attractions/paley_barbara_k.796/map_location.aspx,Not Available
Art Gallery,Pall William Inc,188 E 64th St ,10021,(212) 758-3340,http://local.botw.org/New_York/New_York/Pall_William_Inc/56447150.html,Not Available
Art Gallery,Palmer Meredith Gallery,40 E 94th St ,10128,(212) 828-9100,http://www.artinfo.com/galleryguide/12649/1149/meredith-palmer-gallery-ltd/visit/,Not Available
Art Gallery,Pandora Old Masters,212 E 70th St ,10021,(212) 628-1974,http://www.salondudessin.com/an/anpandora.html,Not Available
Art Gallery,Pardo Sheenan Galleries Ltd,121 E 31st St ,10016,(646) 935-0837,http://web2.userinstinct.com/30816848-pardo-sheenan-galleries-ltd.htm,Not Available
Art Gallery,Parker's Box,193 Grand St ,11211,(718) 388-2882,http://www.parkersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf,Not Available
Art Gallery,Parsons Galleries,2 W. 13th St. ,10011,(212) 229-8987,http://www.parsonswest.com/,Not Available
Art Gallery,Patricia Laligant Photographs,150 W 28th St ,10001,(212) 252-9922,http://www.patricialaligant.com/intro.htm,Not Available
Art Gallery,Patrick's Gallery,220 W 19th St ,10011,(212) 741-7453,http://outalot.com/listings/318942-Patricks-Gallery,Not Available
Art Gallery,Paul Kasmin Gallery,293 10th Ave ,10001,(212) 563-4474,http://www.paulkasmingallery.com/,Not Available
Art Gallery,Paula Cooper Gallery,534 W. 21st St. ,10011,(212) 255-1105,http://www.paulacoopergallery.com/,Not Available
Art Gallery,Peck Ian Fine Paintings Ltd,980 Madison Ave ,10021,(212) 396-2442,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D01E8-3048-28EB-92857B8592DAED09,Not Available
Art Gallery,Peder Bonnier Inc,206 W 23rd St Fl 4,10011,(646) 638-0878,http://web2.userinstinct.com/30816857-peder-bonnier-inc.htm,Not Available
Art Gallery,Perimeter Gallery,511 W 25th St ,10001,(212) 675-1585,http://www.spoke.com/info/c633Fr3/PerimeterGalleryInc,Not Available
Art Gallery,Perlow Rich Katharina Gallery Inc,41 E 57th St ,10022,(212) 644-7171,http://www.artnet.com/katharinarichperlow.html,Not Available
Art Gallery,Peter L Villa Fine Art,110 E 57th St ,10022,(212) 371-1196,http://peterlvillafineart.com/,Not Available
Art Gallery,Peter Rose Gallery,200 E 58th St Apt 20C,10022,(212) 759-8173,http://peterrosegallery.com/,Not Available
Art Gallery,Peters Gerald Gallery,24 E 78th St ,10075,(212) 628-9760,http://www.gpgallery.com/,Not Available
Art Gallery,Phoenix Design Ltd,21415 41st Ave ,11361,(718) 423-3458,http://www.topix.net/yp/flushing-ny/2161581053-phoenix-design-ltd,Not Available
Art Gallery,Phoenix Gallery,210 ELEVENTH AVENUE SUITE 902,10001,(212) 226-8711,http://www.phoenix-gallery.com/phoenixgalleryfellowship2009.pdf,Not Available
Art Gallery,Phoneup,55 Chrystie St ,10002,(212) 219-8287,http://www.nyc.com/arts__attractions/phoneup.642/map_location.aspx,Not Available
Art Gallery,Photo & Art Gallery,1023 Beach 20th St ,11691,(718) 471-7840,http://www.yelp.com/biz/photo-and-art-gallery-far-rockaway,Not Available
Art Gallery,Photo Collection Gagliardi,27 W 20th St ,10011,(212) 229-1816,http://www.gagliardiphoto.com/contact.htm,Not Available
Art Gallery,Photo District Gallery,37 W 20th St Lbby,10011,(212) 807-8787,http://wap.outalot.com/listings/319183-Photo-District-Gallery,Not Available
Art Gallery,Phyllis Lucas Gallery Inc,981 2nd Ave ,10022,(212) 755-1516,http://www.phyllislucasgallery.com/,Not Available
Art Gallery,Picture This Corporate Art,249 Smith Street # 102,11231,(718) 625-2722,http://www.ptcanyc.com/,Not Available
Art Gallery,Pierogi 2000,177 N 9th St ,11211,(718) 599-2144,http://www.pierogi2000.com/,Not Available
Art Gallery,Place Des Vosges,816 Broadway ,10003,(212) 995-2899,http://local.yahoo.com/info-11035506-place-des-vosges-manhattan,Not Available
Art Gallery,Plane Space,102 Charles St ,10014,(917) 606-1268,http://www.artinfo.com/galleryguide/20261/6796/115454/plane-space-new-york/exhibition/gangbusters/,Not Available
Art Gallery,Plaster Palace,5305 18th Ave ,11204,(718) 621-3175,http://www.merchantcircle.com/business/Plaster.Palace.718-621-3175,Not Available
Art Gallery,Plaza Holding Inc,15 W 55th St ,10019,(212) 247-4744,http://m.nyc.com/arts__attractions/plaza_holding_inc.300/map_location.aspx,Not Available
Art Gallery,Plaza Holding Inc,15 W 55th St ,10019,(212) 956-1900,http://www.nyc.com/arts__attractions/plaza_holding_inc.300/whats_nearby.aspx,Not Available
Art Gallery,Plaza Watch & Jewelry Exchange,145 W 57th St ,10019,(212) 246-2000,http://local.botw.org/New_York/New_York/Plaza_Watch_and_Jewelry_Exchange/55631196.html,Not Available
Art Gallery,Pleiades Gallery,530 W 25th St ,10001,(646) 230-0056,http://www.pleiadesgallery.com/index.html,Not Available
Art Gallery,Plum Blossom Gallery,555 W 25th St ,10001,(212) 719-7008,http://www.plumblossoms.com/,Not Available
Art Gallery,Polizzi Fine Art,7813 3rd Ave ,11209,(718) 680-6777,http://www.polizzifineart.com/,Not Available
Art Gallery,Poller Leah,98 Greene St ,10012,(212) 274-1704,http://www.sculpture.org/portfolio/sculptorPage.php?sculptor_id=1003310,Not Available
Art Gallery,Portara Gallery,4720A Bell Blvd ,11361,(718) 224-7093,http://newyork.citysearch.com/profile/map/12036088/bayside_ny/portara_gallery.html,Not Available
Art Gallery,Portico Fine Art,139 Spring St ,10012,(212) 941-8248,http://www.porticony.com/,Not Available
Art Gallery,Portrait Gallery,5100 Kings Plz ,11234,(718) 377-8762,http://brooklyn.ny.povo.com/Portrait_Gallery_%28Kings_Highway%29,Not Available
Art Gallery,Postmasters Gallery,459 W 19th St ,10011,(212) 727-3323,http://www.postmastersart.com/,Not Available
Art Gallery,Praxis International Art,25 E 73rd St Fl 4,10021,(212) 772-9478,http://galleries.absolutearts.com/galleries/praxis-art/index.html,Not Available
Art Gallery,Prieto International Attorney In Fact Johnpoll,127 Fulton St ,10038,(212) 267-6790,http://m.nyc.com/arts__attractions/prieto_international_attorney_in_fact_johnpoll.793/whats_nearby.aspx?sec=pha,Not Available
Art Gallery,Prince Street Gallery,530 W 25th St ,10001,(646) 230-0246,http://www.princestreetgallery.com/contact.html,Not Available
Art Gallery,Professional Fine Arts Svces Inc,141 W 20th St ,10011,(646) 336-6613,http://www.nyc.com/arts__attractions/professional_fine_arts_svces_inc.724/editorial_review.aspx,Not Available
Art Gallery,Proposition the,162 11th Ave ,10011,(212) 242-0035,http://www.theproposition.com/,Not Available
Art Gallery,Public Art Fund,1 E. 53d St. ,10022,(212) 980-4575,http://www.publicartfund.org/,Not Available
Art Gallery,Puerto Rican Work Shop Inc,121 E 106th St ,10029,(212) 534-7534,http://www.nyc.com/arts__attractions/puerto_rican_work_shop_inc.1733/whats_nearby.aspx,Not Available
Art Gallery,Pushman Gallery Inc,154 W 57th St ,10019,(212) 582-0130,http://local.botw.org/New_York/New_York/Pushman_Gallery_Inc/10887507.html,Not Available
