CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS
Hiking Trail,Salt Marsh Nature Trail,"Enter behind the Salt Marsh Nature Center, located near the intersection of East 33rd Street and Avenue U.",11234,Not Available,Not Available,"<p>The first half of this mile-long trail follows the shore of Gerritsen Beach, which empties into Jamaica Bay. The trail&rsquo;s second leg winds through a prairie of tall grass, where you can sometimes spot cottontail rabbits and ring-necked pheasants. Check out our <a href=""/park-features/hiking/marine-park"">Marine Park Trails</a> page for a map and directions to scenic locations, and comfort stations and maps are also available inside the Salt Marsh Nature Center.</p>"
Hiking Trail,Lullwater,Enter Park at Lincoln Road and Ocean Avenue entrance.  Trails begin or are near the Prospect Park Audubon Center.,11225,Not Available,Not Available,"Explore the Lullwater to see how nature thrives in the heart of Brooklyn.  The Lullwater is a great place to see birds and other wildlife.  Bathrooms, caf&eacute; and trail guides are available at the Prospect Park Audubon Center."
Hiking Trail,Midwood,Enter Park at Lincoln Road and Ocean Avenue entrance. Trails begin or are near the Prospect Park Audubon Center.,11210,Not Available,Not Available,"Step back in time with a walk through Brooklyn&rsquo;s oldest remaining forest. The Midwood, home to some of Prospect Park&rsquo;s largest trees, is a relic of Brooklyn&rsquo;s history, and was preserved and incorporated into the park during its original construction. The thirty-minute hike loops from Prospect Park&rsquo;s Audubon Center through a forest filled with birds and other animals."
Hiking Trail,Peninsula,Enter Park at Lincoln Road and Ocean Avenue entrance.  Trails begin or are near the Prospect Park Audubon Center.,10019,Not Available,Not Available,"Discover how the Peninsula has changed over the last 300 years.  The Peninsula's restored landscapes provide scenic views, a home for Park wildlife, and great fishing.  Bathrooms, caf&eacute; and trail guides are available at the Prospect Park Audubon Center."
Hiking Trail,Waterfall,Enter Park at Lincoln Road and Ocean Avenue entrance.  Trails begin or are near the Prospect Park Audubon Center.,14303,Not Available,Not Available,"Trace the source of the Lake on the Waterfall trail.  The Fallkill Falls is the first of six waterfalls that you will see along the Park's watercourse.  Bathrooms, caf&eacute; and trail guides are available at the Prospect Park Audubon Center."
Hiking Trail,Alley Pond Trails,"Park-wide. Check out our <a href=""/park-features/hiking/alley-pond"">Alley Pond Park Trails</a> page for a map and directions to scenic locations.",11362,Not Available,Not Available,Numerous trails wind through native hardwood (oak-hickory) forest and kettle ponds.  The north end of the park boasts splendid salt marsh views.
Hiking Trail,Blue Trail,"Forest Park Drive East, off of Woodhaven Boulevard",12309,Not Available,Not Available,Forest Park's numerous trails wind through native hardwood (oak-hickory) forest and kettle ponds.  
Hiking Trail,Orange Trail,Memorial Drive and Forest Park Drive East,11375,Not Available,Not Available,This trail will lead you through a 2.4 mile adventurous hike along the perimeter of the forest
Hiking Trail,Yellow Trail,Metropolitan Avenue & Forest Park Drive East,12301,Not Available,Not Available,Not Available
Hiking Trail,South Preserve Trail,Francis Lewis Boulevard and Union Turnpike,11427,Not Available,Not Available,"Numerous unnamed trails wind through native hardwood (oak-hickory) forest, which features a diverse ecosystem to support abundant wildlife. The parks&rsquo; Kettle Ponds feature the sounds of Spring Peepers and other species of frogs throughout the spring and summer season."
Hiking Trail,Greenbelt Blue Trail (Southern Trailhead),Brielle Avenue & Roanoake Street,10314,Not Available,Not Available,"This is the Greenbelt&rsquo;s longest marked trail.  Its northeastern trailhead at the Greenbelt&rsquo;s Deere Park can be accessed from Staten Island Boulevard.  Walk the trail to its end, near the Brielle Avenue-Roanoake Street intersection in Willowbrook, and you will either pass through or have a view of each of the Greenbelt&rsquo;s five distinct vegetation zones."
Hiking Trail,Greenbelt Nature Center Trail,Rockland & Brielle avenues,10314,Not Available,Not Available,"This gentle walk takes you through a forest of red maple, black birch, cherry, tulip, and sassafras trees.  In the understory, there is an abundance of spicebush, which produces bright red berries in the fall.  The trail connects to the blue trail and the white trail."
Hiking Trail,Greenbelt Red Trail,Richmond Road and St. Patrick's Place,10314,Not Available,Not Available,"This loop trail is in the heart of the Greenbelt, which is also home to six other picturesque hiking trails on which urban explorers can discover Staten Island&rsquo;s vast preserves of natural spaces. The red trail crosses over Buck&rsquo;s Hollow, Heyerdahl Hill, the northern edge of LaTourette golf course and the neighborhood of Lighthouse Hill. Want to make a full day of it&Alpha; A pathway leads from the trail downhill to Historic Richmond Town, where you can walk through a preserved 18th century village."
Hiking Trail,Greenbelt White Trail (Southern),Rockland Avenue near Brielle Avenue (mid-way trailhead) or Richmond Road near Reidel Avenue,10314,Not Available,Not Available,Connects to Great Kills Park of the Gateway National Park System Service.
Hiking Trail,Greenbelt Yellow Trail (Southwest Trailhead),Richmond Avenue & Forest Hill Road,10314,Not Available,Not Available,Traverses the entire Greenbelt from its Northeast corner in the community of Todt Hill to its Southwest corner in  New Springville; access Moses' Mountain at Rockland Avenue and Manor Road behind bus stop.
Hiking Trail,William T. Davis Wildlife Refuge Pink Trail,Mulberry Avenue off Travis Avenue (limited parking),10314,Not Available,Not Available,Excellent birdwatching location; abounds with water-loving trees such as sweet gum and ash.
Hiking Trail,Willowbrook Park White Trail,Willowbrook Park off Victory Boulevard,10314,Not Available,Not Available,Connects to Great Kills Park of the Gateway National Park System Service.
