CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS
Museums,Alexander Hamilton U.S. Custom House,1 Bowling Grn ,10004,(212) 514-3700,http://www.oldnycustomhouse.gov/,Not available
Museums,Alice Austen House Museum,2 Hylan Blvd ,10305,(718) 816-4506,http://www.aliceausten.org/,Not available
Museums,American Academy of Arts and Letters,633 W. 155th St. ,10032,(212) 368-5900,http://www.artsandletters.org/,Not available
Museums,American Folk Art Museum,45 West 53rd Street ,10019,(212) 265-1040,http://www.folkartmuseum.org/,Not available
Museums,American Museum of Natural History,Central Park West at 79th Street ,10024,(212) 769-5100,http://www.amnh.org/,Not available
Museums,American Numismatic Society,75 Varick St 11th Floor,10013,(212) 571-4470,http://www.numismatics.org/,Not available
Museums,Americas Society,680 Park Ave. ,10021,(212) 249-8950,http://as.americas-society.org/,Not available
Museums,Anne Frank Center USA,38 Crosby Street 5th Floor,10012,(212) 431-7993,http://www.annefrank.com/,Not available
Museums,Asia Society,725 Park Avenue ,10021,(212) 288-6400,http://www.asiasociety.org/,Not available
Museums,Audubon Terrace,Broadway at 155 Street ,10032,Not available,http://www.washington-heights.us/history/archives/audubon_terrace_museum_group_102.html,Not available
Museums,Bartow-Pell Mansion,895 Shore Road Pelham Bay Park,10464,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,Not available
Museums,Bowne House,37-01 Bowne Street ,11354,(718) 359-0528,http://www.bownehouse.org/,Not available
Museums,Bronx Historical Society & Musem,3309 Bainbridge Ave ,10467,(718) 881-8900,http://www.bronxhistoricalsociety.org/,Not available
Museums,Bronx Museum of the Arts (BXMA),1040 Grand Concourse ,10456,(718) 681-6000,http://www.bronxmuseum.org/,Not available
Museums,Brooklyn Children's Museum,145 Brooklyn Avenue ,11213,(718) 735-4400,http://www.brooklynkids.org/,Not available
Museums,Brooklyn Historical Society,128 Pierrepont Street ,11201,(718) 222-4111,http://www.brooklynhistory.org/default/index.html,Not available
Museums,Brooklyn Museum,200 Eastern Parkway ,11238,(718) 638-5000,http://www.brooklynmuseum.org/,Not available
Museums,Chelsea Art Museum,556 West 22nd Street ,10011,(212) 255-0719,http://www.chelseaartmuseum.org/,Not available
Museums,Children's Museum of Manhattan,212 West 83rd Street ,10024,(212) 721-1234,http://www.cmom.org/,Not available
Museums,Children's Museum of the Arts,182 Lafayette Street ,10012,(212) 274-0986,http://cmany.org/intro.php?pn=home,Not available
Museums,Cloisters,99 Margaret Corbin Drive ,10040,(212) 923-3700,http://www.metmuseum.org/cloisters/,Not available
Museums,Coney Island Museum,1208 Surf Ave ,11224,(718) 372-5159,http://www.coneyisland.com/,Not available
Museums,"Cooper-Hewitt, National Design Museum",2 East 91st Street ,10128,(212) 849-8400,http://www.cooperhewitt.org/,Not available
Museums,Dahesh Museum,580 Madison Avenue ,10022,(212) 759-0606,http://www.daheshmuseum.org,Not available
Museums,Dia at the Hispanic Society,613 West 155th Street ,10032,(845) 440-0100,http://www.diabeacon.org/,Not available
Museums,Dia Art Foundation,535 W 22nd Street ,10011,(212) 989 5566,http://www.diacenter.org/,Not available
Museums,Discovery Times Square Exposition,226 W 44th St ,10036,(866) 987-9692,http://www.discoverytsx.com/nyc/,Not available
Museums,Drawing Center,35 Wooster St. ,10013,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,Not available
Museums,Dyckman Farmhouse,4881 Broadway ,10034,(212) 304-9422,http://www.dyckmanfarmhouse.org/,Not available
Museums,East Village History Project,308 Bowery ,10012,(212) 614-8702,http://leshp.org/,Not available
Museums,El Museo del Barrio,1230 Fifth Ave ,10029,(212) 831-7272,http://www.elmuseo.org/,Not available
Museums,Fraunces Tavern Museum,54 Pearl Street ,10004,(212) 425-1778,http://www.frauncestavernmuseum.org/,Not available
Museums,Frick Collection,1 E. 70th Street ,10021,(212) 288-0700,http://www.frick.org/,Not available
Museums,Garibaldi-Meucci Museum,420 Tompkins Avenue ,10305,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,Not available
Museums,Goethe-Institut New York,1014 Fifth Avenue ,10028,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,Not available
Museums,Gracie Mansion,89th Street at East End Avenue Carl Schurz Park,10128,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,Not available
Museums,Hall Of Fame For Great Americans,Hall of Fame Terrace & Sedgwick Avenue ,10453,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,Not available
Museums,Harbor Defense Museum of Fort Hamilton,230 Sheridan Loop ,11252,(718) 630-4349,http://www.harbordefensemuseum.com/,Not available
Museums,Hispanic Society of America Museum,613 West 155th Street ,10032,(212) 926-2234,http://www.hispanicsociety.org/,Not available
Museums,Holocaust Museum & Studies Center,75 W 205th St ,10468,(718) 817-7700,http://www.holocauststudies.org/,Not available
Museums,Hudson Waterfront Museum and Showboat Barge,290 Conover St. ,11231,(718) 624-4719,http://www.waterfrontmuseum.org/,Not available
Museums,International Center of Photography,1133 Avenue Of The Americas ,10036,(212) 857-0000,http://www.icp.org/,Not available
Museums,Intrepid Sea-Air-Space Museum,Pier 86 12th Ave. & 46th Street ,10036,(212) 245-0072,http://www.intrepidmuseum.org/,Not available
Museums,Isamu Noguchi Garden Museum,32-37 Vernon Boulevard ,11106,(718) 204-7088,http://www.noguchi.org/,Not available
Museums,Italian American Museum,155 Mulberry St. ,10013,(212) 965-9000,http://www.italianamericanmuseum.org/,Not available
Museums,Jackie Robinson Museum,1 Hudson Square 75 Varick Street 2nd Floor,10013,(212) 290-8600,http://www.jackierobinson.org/,Not available
Museums,Jacques Marchais Center Museum of Tibetan Art,338 Lighthouse Avenue ,10306,(718) 987-3500,http://www.tibetanmuseum.org/,Not available
Museums,Jeffrey's Hook lighthouse (Little Red Lighthouse),178th Street at the Hudson River ,10033,(212) 304-2365,http://www.nycgovparks.org/sub_about/parks_divisions/historic_houses/hh_little_red_light.html,Not available
