CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS
Restaurant,MELANY RESTAURANT,"FLATBUSH AVENUE, Brooklyn",11226,Not Available,Not Available,Not Available
Restaurant,ING CAFE,"AVENUE OF THE AMERICAS, Manhattan",10036,Not Available,Not Available,Not Available
Restaurant,KOSSARS & BEYOND,"GRAND STREET, Manhattan",10002,Not Available,Not Available,Not Available
Restaurant,PORTAL LATINO RESTAURANT,"SMITH STREET, Brooklyn",11201,Not Available,Not Available,Not Available
Restaurant,UNREGULAR PIZZA,"4 AVENUE, Manhattan",10003,Not Available,Not Available,Not Available
Restaurant,EG PIZZA,"EAST  208 STREET, Bronx",10467,Not Available,Not Available,Not Available
Restaurant,ANGELO'S PIZZA,"GREENPOINT AVE, Queens",11101,Not Available,Not Available,Not Available
Restaurant,PINK METAL,"BUSHWICK AVENUE, Brooklyn",11206,Not Available,Not Available,Not Available
Restaurant,3 DESSERT,"ROOSEVELT AVENUE, Queens",11354,Not Available,Not Available,Not Available
Restaurant,POSTO,"2 AVENUE, Manhattan",10003,Not Available,Not Available,Not Available
Restaurant,JUPIOCA,"YORK AVENUE, Manhattan",10075,Not Available,Not Available,Not Available
Restaurant,BITTERSWEET,"DEKALB AVENUE, Brooklyn",11205,Not Available,Not Available,Not Available
Restaurant,68 JAY STREET BAR,"JAY STREET, Brooklyn",11201,Not Available,Not Available,Not Available
Restaurant,CHEF QUANG GUYANESE CHINESE EXPRESS,"ATLANTIC AVENUE, Brooklyn",11208,Not Available,Not Available,Not Available
Restaurant,AAA CARIDAD,"WEBSTER AVENUE, Bronx",10467,Not Available,Not Available,Not Available
Restaurant,THE LITTLE BEET,"PARK AVE, Manhattan",10017,Not Available,Not Available,Not Available
Restaurant,SING WOK KITCHEN,"EAST  204 STREET, Bronx",10467,Not Available,Not Available,Not Available
Restaurant,GREEK EXPRESS,"RIVERDALE AVENUE, Bronx",10463,Not Available,Not Available,Not Available
Restaurant,MCDONALD'S,"JUNCTION BLVD, Queens",11368,Not Available,Not Available,Not Available
Restaurant,POPEYES,"SOUTH CONDUIT BOULEVARD, Brooklyn",11208,Not Available,Not Available,Not Available
Restaurant,FRENCHETTE BAKERY,"CHURCH STREET, Manhattan",10013,Not Available,Not Available,Not Available
Restaurant,MONTAGUE BAGELS,"MONTAGUE STREET, Brooklyn",11201,Not Available,Not Available,Not Available
Restaurant,787 COFFEE ROASTERS,"2 AVENUE, Manhattan",10003,Not Available,Not Available,Not Available
Restaurant,MCDONALD'S,"BAY PARKWAY, Brooklyn",11204,Not Available,Not Available,Not Available
Restaurant,RULAY LOUNGE BAR & RESTAURANT,"WEBSTER AVENUE, Bronx",10458,Not Available,Not Available,Not Available
Restaurant,LENOX PUBLIC,"LENOX AVENUE, Manhattan",10027,Not Available,Not Available,Not Available
Restaurant,OSCAR'S PLACE,"HUDSON STREET, Manhattan",10014,Not Available,Not Available,Not Available
Restaurant,VETRO,"CROSS BAY BOULEVARD, Queens",11414,Not Available,Not Available,Not Available
Restaurant,THE ALLEY,"PRINCE ST, Queens",11354,Not Available,Not Available,Not Available
Restaurant,CAPRI CAKES,"EAST  149 STREET, Bronx",10451,Not Available,Not Available,Not Available
Restaurant,THE LUNCHH BOX,"EAST   53 STREET, Manhattan",10022,Not Available,Not Available,Not Available
Restaurant,PLAYGROUND COFFEE SHOP,"BEDFORD AVENUE, Brooklyn",11216,Not Available,Not Available,Not Available
Restaurant,THE ATRIUM @ BROOKLYN BOTANIC GARDEN,"WASHINGTON AVENUE, Brooklyn",11225,Not Available,Not Available,Not Available
Restaurant,M & W BAKERY,"BAYARD STREET, Manhattan",10013,Not Available,Not Available,Not Available
Restaurant,GHANDI CAFE,"BLEECKER STREET, Manhattan",10014,Not Available,Not Available,Not Available
Restaurant,MEXICO 2000 2,"WOODWARD AVENUE, Queens",11385,Not Available,Not Available,Not Available
Restaurant,SKY ROOM,"WEST   40 STREET, Manhattan",10018,Not Available,Not Available,Not Available
Restaurant,HCT JACX,"JACKSON AVE, Queens",11101,Not Available,Not Available,Not Available
Restaurant,NEW CHINA,"MOSHOLU AVENUE, Bronx",10471,Not Available,Not Available,Not Available
Restaurant,NANAS,"CROSSBAY BLVD, Queens",11414,Not Available,Not Available,Not Available
Restaurant,C Bar Lounge & Restaurant,"83RD AVE, Queens",11415,Not Available,Not Available,Not Available
Restaurant,AKARU SUSHI,"WYCKOFF AVENUE, Brooklyn",11237,Not Available,Not Available,Not Available
Restaurant,DUE WEST,"WEST   10 STREET, Manhattan",10014,Not Available,Not Available,Not Available
Restaurant,THE MASPETH PIZZA HOUSE,"60TH ST, Queens",11378,Not Available,Not Available,Not Available
Restaurant,WAH YUNG,"ROCKAWAY AVENUE, Brooklyn",11212,Not Available,Not Available,Not Available
Restaurant,BLKYN BURRO,"FULTON STREET, Brooklyn",11238,Not Available,Not Available,Not Available
Restaurant,CAFE GRUMPY,"WEST   39 STREET, Manhattan",10018,Not Available,Not Available,Not Available
