CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS
Water Trails,Lemon Creek Marina,Hylan Boulevard & Seguine Avenue,10309,Not Available,Not Available,Description: Not Available Hours: Dawn until Dusk Storage: Winter storage available only
Water Trails,Inwood Hill Park,Dyckman Street & Hudson River,10034,Not Available,Not Available,Description: Not Available Hours: Not Available Storage: None
Water Trails,Riverside Park (79th Street),79th Street Boat Basin & Hudson River,10069,Not Available,Not Available,Description: Not Available Hours: Sunrise to Sunset Storage: Public Storage for up to 80 kayaks at boat basin
Water Trails,Riverside Park (72nd Street),"<p class=""alert alert-error"">The kayak launch site at 72nd Street in Riverside Park is closed for the season. Please visit <a href=""/facilities/kayak"">The New York City Water Trail</a> page to find other kayak launches. </p>72nd Street & Hudson River",10069,Not Available,Not Available,"Description: <p>For more information regarding the 72nd Street launch and landing, please visit the <a href=""http://www.manhattancommunityboathouse.org/"">Manhattan Community Boathouse</a>website.</p> Hours: Park: 6:00am-1:00am; Launch: Sunrise to Sunset Storage: None"
Water Trails,Hudson River Park (Pier 40),"Houston Street, Pier 40",10014,Not Available,Not Available,"Description: <p>The Village Community Boathouse offers free community rowing on Sundays and Tuesdays, from April&nbsp;through November. No experience is necessary and there is no registration. Just show up and have some fun on the Hudson River! First timers have an opportunity to learn basic rowing techniques, terminology, and safety.&nbsp;All are welcome to join community boatbuilding and repair on Wednesdays and Sundays.&nbsp;</p>

<p>Please visit the <a href=""http://www.villagecommunityboathouse.org/"">Village Community Boathouse&#39;s website</a> for program schedules and updates.&nbsp;Programs are subject to changes.</p>

<p>For more information about the Pier 40&#39;s landing, free community rowing, and more, please visit the <a href=""http://www.villagecommunityboathouse.org/"">Village Community Boathouse&#39;s website</a>.</p> Hours: Not Available Storage: None"
Water Trails,Hudson River Park (Pier 96),"56th Street, Pier 96",10019,Not Available,Not Available,"Description: <p>For more information regarding the Pier 96 launch and landing, please visit the Downtown Boathouse website:</p>
<p><a href=""http://www.nycgovparks.org/exit&Alpha;url=http%3A//www.downtownboathouse.org/"">http://www.downtownboathouse.org/<br />
</a></p> Hours: Not Available Storage: None"
Water Trails,Hudson River Park (Pier 84),"44th Street, Pier 84",10036,Not Available,Not Available,Not Available
Water Trails,Louis J. Valentino Park,Coffey Street,11231,Not Available,Not Available,Description: Not Available Hours: Dawn to Dusk Storage: No Storage Available
Water Trails,Sebago Canoe Club (Paerdegat Basin),Paerdegat Avenue North,11236,Not Available,Not Available,"Description: <p>&quot;The Sebago Canoe Club is a volunteer run, 501C3 nonprofit, membership organization in Canarsie, Brooklyn. &nbsp;The club, with it's pleasanet, tree-filled grounds is located on Paerdegat basin with direct access to the beautiful waters of Jamaica Bay.&quot;</p>
<p>&nbsp;For more information regarding Sebago Canoe Club, please visit their website at&nbsp;<a href=""http://sebagocanoeclub.org"">sebagocanoeclub.org</a></p>
<p>(Information provided by the Sebago Canoe Club website)</p>
<p>&nbsp;</p>
<p>&nbsp;</p> Hours: Not Available Storage: Public Storage 10 kayaks, 10 canoes"
Water Trails,Mill Basin Marina,Avenue Y & East 69th Street,11234,Not Available,Not Available,Description: Not Available Hours: Sunrise to Sunset Storage: Winter storage for boats only
