CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS,TOURIST TYPE,Distance_Empire
Art Gallery,O'reilly William & Co Ltd,52 E 76th St ,10021,(212) 396-1822,http://www.nyc.com/arts__attractions/oreilly_william__co_ltd.806/whats_nearby.aspx,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Organization of Independent Artists - Gallery 402,19 Hudson St. ,10013,(212) 219-9213,http://www.nonprofitgallery.com/main/usa/ny/oia.html,Not Available,"Family, Couple, Individual",2.03 Miles
Art Gallery,Owen Gallery,19 E 75th St ,10021,(212) 879-2415,http://www.owengallery.com/about-us,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,P P O W Gallerie,511 W 25th St ,10001,(212) 647-1044,http://www.ppowgallery.com/,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,P P O W Inc,476 Broome St ,10013,(212) 941-8642,http://www.nyc.com/arts__attractions/p_p_o_w_inc.260/whats_nearby.aspx,Not Available,"Family, Couple, Individual",2.03 Miles
Art Gallery,P S 122 Gallery,150 1st Ave ,10009,(212) 228-4249,http://ps122gallery.org/,Not Available,"Family, Couple, Individual",1.87 Miles
Art Gallery,Pace Editions,44 W 18th St ,10011,(212) 645-9806,http://www.ziplocal.com/companies/103327232-Pace-Editions,Not Available,"Family, Couple, Individual",0.51 Miles
Art Gallery,Pace MacGill Gallery,32 E. 57th St. 9th Fl.,10022,(212) 759-7999,http://www.pacemacgill.com/exhibitions.html,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Pace Prints & Primitive Gallery,32 E. 57th St. 3rd Fl.,10022,(212) 421-3237,http://www.paceprints.com/,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Pace Wildenstein,534 W 25th St ,10001,(212) 929-7000,http://www.pacewildenstein.com/,Not Available,"Family, Couple, Individual",0.24 Miles
Art Gallery,Pace Wildenstein,32 E 57th St Fl 4,10022,(212) 421-3292,http://www.pacewildenstein.com/uploads/exhibitions/keith%20tyson_with%20images_new.pdf,Not Available,"Family, Couple, Individual",1.46 Miles
Art Gallery,Paige's Art Gallery,3163 Broadway ,10027,(212) 531-1577,http://www.nyc.com/arts__attractions/paiges_art_gallery.1731/editorial_review.aspx,Not Available,"Family, Couple, Individual",4.90 Miles
Art Gallery,PaineWebber Gallery,1285 Sixth Ave. ,10019,(212) 713-2885,http://www.tfaoi.com/aa/1aa/1aa458.htm,Not Available,"Family, Couple, Individual",1.16 Miles
Art Gallery,Paint Can Studios,3608 34th St ,11106,(718) 937-7360,http://ny.serviceslisted.com/1655944-PaintCanStudios.htm,Not Available,"Family, Couple, Individual",3.55 Miles
Art Gallery,Paley Barbara K,1776 Broadway ,10019,(212) 333-4747,http://www.nyc.com/arts__attractions/paley_barbara_k.796/map_location.aspx,Not Available,"Family, Couple, Individual",1.16 Miles
Art Gallery,Pall William Inc,188 E 64th St ,10021,(212) 758-3340,http://local.botw.org/New_York/New_York/Pall_William_Inc/56447150.html,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Palmer Meredith Gallery,40 E 94th St ,10128,(212) 828-9100,http://www.artinfo.com/galleryguide/12649/1149/meredith-palmer-gallery-ltd/visit/,Not Available,"Family, Couple, Individual",3.25 Miles
Art Gallery,Pandora Old Masters,212 E 70th St ,10021,(212) 628-1974,http://www.salondudessin.com/an/anpandora.html,Not Available,"Family, Couple, Individual",2.31 Miles
Art Gallery,Pardo Sheenan Galleries Ltd,121 E 31st St ,10016,(646) 935-0837,http://web2.userinstinct.com/30816848-pardo-sheenan-galleries-ltd.htm,Not Available,"Family, Couple, Individual",0.86 Miles
