CATEGORY,NAME,ADDRESS,ZIPCODE,PHONE NO.,URL,ADDITIONAL DETAILS,TOURIST TYPE,Distance_Statue
Art Gallery,Organization of Independent Artists - Gallery 402,19 Hudson St. ,10013,(212) 219-9213,http://www.nonprofitgallery.com/main/usa/ny/oia.html,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,P P O W Gallerie,511 W 25th St ,10001,(212) 647-1044,http://www.ppowgallery.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,P P O W Inc,476 Broome St ,10013,(212) 941-8642,http://www.nyc.com/arts__attractions/p_p_o_w_inc.260/whats_nearby.aspx,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,P S 122 Gallery,150 1st Ave ,10009,(212) 228-4249,http://ps122gallery.org/,Not Available,"Family, Couple, Individual",2.19 Miles
Art Gallery,Pace Editions,44 W 18th St ,10011,(212) 645-9806,http://www.ziplocal.com/companies/103327232-Pace-Editions,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Pace MacGill Gallery,32 E. 57th St. 9th Fl.,10022,(212) 759-7999,http://www.pacemacgill.com/exhibitions.html,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Pace Prints & Primitive Gallery,32 E. 57th St. 3rd Fl.,10022,(212) 421-3237,http://www.paceprints.com/,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Pace Wildenstein,534 W 25th St ,10001,(212) 929-7000,http://www.pacewildenstein.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Pace Wildenstein,32 E 57th St Fl 4,10022,(212) 421-3292,http://www.pacewildenstein.com/uploads/exhibitions/keith%20tyson_with%20images_new.pdf,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,PaineWebber Gallery,1285 Sixth Ave. ,10019,(212) 713-2885,http://www.tfaoi.com/aa/1aa/1aa458.htm,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,Paley Barbara K,1776 Broadway ,10019,(212) 333-4747,http://www.nyc.com/arts__attractions/paley_barbara_k.796/map_location.aspx,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,Pardo Sheenan Galleries Ltd,121 E 31st St ,10016,(646) 935-0837,http://web2.userinstinct.com/30816848-pardo-sheenan-galleries-ltd.htm,Not Available,"Family, Couple, Individual",3.28 Miles
Art Gallery,Parker's Box,193 Grand St ,11211,(718) 388-2882,http://www.parkersbox.com/exhibitions/current/08/EDITH_PressRelease.pdf,Not Available,"Family, Couple, Individual",3.22 Miles
Art Gallery,Parsons Galleries,2 W. 13th St. ,10011,(212) 229-8987,http://www.parsonswest.com/,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Patricia Laligant Photographs,150 W 28th St ,10001,(212) 252-9922,http://www.patricialaligant.com/intro.htm,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Patrick's Gallery,220 W 19th St ,10011,(212) 741-7453,http://outalot.com/listings/318942-Patricks-Gallery,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Paul Kasmin Gallery,293 10th Ave ,10001,(212) 563-4474,http://www.paulkasmingallery.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Paula Cooper Gallery,534 W. 21st St. ,10011,(212) 255-1105,http://www.paulacoopergallery.com/,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Peder Bonnier Inc,206 W 23rd St Fl 4,10011,(646) 638-0878,http://web2.userinstinct.com/30816857-peder-bonnier-inc.htm,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Perimeter Gallery,511 W 25th St ,10001,(212) 675-1585,http://www.spoke.com/info/c633Fr3/PerimeterGalleryInc,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Perlow Rich Katharina Gallery Inc,41 E 57th St ,10022,(212) 644-7171,http://www.artnet.com/katharinarichperlow.html,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Peter L Villa Fine Art,110 E 57th St ,10022,(212) 371-1196,http://peterlvillafineart.com/,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Peter Rose Gallery,200 E 58th St Apt 20C,10022,(212) 759-8173,http://peterrosegallery.com/,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Phoenix Gallery,210 ELEVENTH AVENUE SUITE 902,10001,(212) 226-8711,http://www.phoenix-gallery.com/phoenixgalleryfellowship2009.pdf,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Phoneup,55 Chrystie St ,10002,(212) 219-8287,http://www.nyc.com/arts__attractions/phoneup.642/map_location.aspx,Not Available,"Family, Couple, Individual",1.48 Miles
Art Gallery,Photo Collection Gagliardi,27 W 20th St ,10011,(212) 229-1816,http://www.gagliardiphoto.com/contact.htm,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Photo District Gallery,37 W 20th St Lbby,10011,(212) 807-8787,http://wap.outalot.com/listings/319183-Photo-District-Gallery,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Phyllis Lucas Gallery Inc,981 2nd Ave ,10022,(212) 755-1516,http://www.phyllislucasgallery.com/,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Picture This Corporate Art,249 Smith Street # 102,11231,(718) 625-2722,http://www.ptcanyc.com/,Not Available,"Family, Couple, Individual",1.72 Miles
Art Gallery,Pierogi 2000,177 N 9th St ,11211,(718) 599-2144,http://www.pierogi2000.com/,Not Available,"Family, Couple, Individual",3.22 Miles
Art Gallery,Place Des Vosges,816 Broadway ,10003,(212) 995-2899,http://local.yahoo.com/info-11035506-place-des-vosges-manhattan,Not Available,"Family, Couple, Individual",2.29 Miles
Art Gallery,Plane Space,102 Charles St ,10014,(917) 606-1268,http://www.artinfo.com/galleryguide/20261/6796/115454/plane-space-new-york/exhibition/gangbusters/,Not Available,"Family, Couple, Individual",2.09 Miles
Art Gallery,Plaza Holding Inc,15 W 55th St ,10019,(212) 247-4744,http://m.nyc.com/arts__attractions/plaza_holding_inc.300/map_location.aspx,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,Plaza Holding Inc,15 W 55th St ,10019,(212) 956-1900,http://www.nyc.com/arts__attractions/plaza_holding_inc.300/whats_nearby.aspx,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,Plaza Watch & Jewelry Exchange,145 W 57th St ,10019,(212) 246-2000,http://local.botw.org/New_York/New_York/Plaza_Watch_and_Jewelry_Exchange/55631196.html,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,Pleiades Gallery,530 W 25th St ,10001,(646) 230-0056,http://www.pleiadesgallery.com/index.html,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Plum Blossom Gallery,555 W 25th St ,10001,(212) 719-7008,http://www.plumblossoms.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Poller Leah,98 Greene St ,10012,(212) 274-1704,http://www.sculpture.org/portfolio/sculptorPage.php?sculptor_id=1003310,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Portico Fine Art,139 Spring St ,10012,(212) 941-8248,http://www.porticony.com/,Not Available,"Family, Couple, Individual",1.63 Miles
Art Gallery,Postmasters Gallery,459 W 19th St ,10011,(212) 727-3323,http://www.postmastersart.com/,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Prieto International Attorney In Fact Johnpoll,127 Fulton St ,10038,(212) 267-6790,http://m.nyc.com/arts__attractions/prieto_international_attorney_in_fact_johnpoll.793/whats_nearby.aspx?sec=pha,Not Available,"Family, Couple, Individual",0.43 Miles
Art Gallery,Prince Street Gallery,530 W 25th St ,10001,(646) 230-0246,http://www.princestreetgallery.com/contact.html,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Professional Fine Arts Svces Inc,141 W 20th St ,10011,(646) 336-6613,http://www.nyc.com/arts__attractions/professional_fine_arts_svces_inc.724/editorial_review.aspx,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Proposition the,162 11th Ave ,10011,(212) 242-0035,http://www.theproposition.com/,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Public Art Fund,1 E. 53d St. ,10022,(212) 980-4575,http://www.publicartfund.org/,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Pushman Gallery Inc,154 W 57th St ,10019,(212) 582-0130,http://local.botw.org/New_York/New_York/Pushman_Gallery_Inc/10887507.html,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,Pytlak Art Studio,573 Metropolitan Ave ,11211,(718) 599-1265,http://www.anitapytlak.net/uk/index.html,Not Available,"Family, Couple, Individual",3.22 Miles
Art Gallery,Queen Art Publishers Inc,481 Washington St ,10013,(212) 274-0237,http://www.lights.ca/publisher/db/9/3739.html,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Radio House Gallery,601 W 26th St ,10001,(212) 620-7630,http://gallerydriver.com/?method=Gallery.GalleryDetail&GalleryID=489D6139-3048-28EB-92ED919F6F1756B9,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Rafael Gallery,241 E 59th St ,10022,(212) 744-8666,http://www.getfave.com/locations/888896-rafael-gallery,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Ralph Chait Galleries Inc,724 5th Ave ,10019,(212) 397-2818,http://www.rmchait.com/,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,Randolph & Tate Assocs,234 5th Ave ,10001,(212) 595-6302,http://directory.northjersey.com/randolph+tate+assocs.9.7658139p.home.html,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Raphael Fodde Editions,70 WASHINGTON ST ,11201,(718) 624-6048,http://www.yelp.com/biz/raphael-fodde-editions-brooklyn,Not Available,"Family, Couple, Individual",1.19 Miles
Art Gallery,Rare art Gallery,521 W 26th St Bsmt ,10001,(212) 268-1520,http://www.rare-gallery.com/,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Raydon Gallery,1091 Madison Ave ,10001,(212) 288-3555,http://www.rateitall.com/i-410005-raydon-gallery.aspx,Not Available,"Family, Couple, Individual",3.44 Miles
Art Gallery,Red Dot,140 W 22nd St ,10011,(212) 675-0448,http://www.rateitall.com/i-410007-red-dot.aspx,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Reece Galleries Inc The,24 W 57th St ,10019,(212) 333-5830,http://www.reecegalleries.com/,Not Available,"Family, Couple, Individual",4.36 Miles
Art Gallery,Reeves Contemporary Inc,535 W 24th St ,10011,(212) 714-0044,http://www.cynthia-reeves.com/,Not Available,"Family, Couple, Individual",2.69 Miles
Art Gallery,Rehs Galleries Inc,5 E 57th St Fl 8,10022,(212) 355-5710,http://www.rehs.com/,Not Available,"Family, Couple, Individual",4.23 Miles
Art Gallery,Resnick Ira Inc,133 E 58th St Ste 1001,10022,(212) 223-1009,http://www.nyc.com/search/find.aspx?secid=2&name=Resnick%20Ira%20Inc,Not Available,"Family, Couple, Individual",4.23 Miles
